"customer_id","frequency","monetary","segment"
"12523",13,1745.57,"High Value"
"12524",8,4485.72,"High Value"
"12526",3,1316.66,"High Value"
"12527",3,348.71,"Low Value"
"12528",8,1922.28,"High Value"
"12530",5,1623.63,"High Value"
"12531",1,125.22,"Low Value"
"12532",1,349.83,"Low Value"
"12534",1,1089.18,"High Value"
"12535",2,716.35,"Mid Value"
"12536",5,4106.82,"High Value"
"12538",1,363.95,"Low Value"
"12539",5,3852.50,"High Value"
"12540",19,13309.04,"High Value"
"12541",3,981.18,"Mid Value"
"12544",2,355.70,"Low Value"
"12545",2,1000.39,"High Value"
"12546",3,1141.50,"High Value"
"12547",2,207.80,"Low Value"
"12548",1,95.20,"Low Value"
"12550",1,964.83,"Mid Value"
"12551",1,168.00,"Low Value"
"12552",2,437.82,"Low Value"
"12553",14,3652.25,"High Value"
"12556",2,603.71,"Mid Value"
"12557",5,11990.96,"High Value"
"12558",2,0.00,"Low Value"
"12559",3,536.21,"Mid Value"
"12560",4,2101.39,"High Value"
"12561",1,238.85,"Low Value"
"12562",7,3781.74,"High Value"
"12564",1,456.90,"Low Value"
"12565",2,131.17,"Low Value"
"12566",2,346.70,"Low Value"
"12567",11,9114.94,"High Value"
"12569",35,4064.99,"High Value"
"12571",2,519.61,"Mid Value"
"12572",3,1004.72,"High Value"
"12573",1,160.54,"Low Value"
"12574",1,218.45,"Low Value"
"12576",6,1306.98,"High Value"
"12577",4,595.40,"Mid Value"
"12578",4,2753.36,"High Value"
"12579",3,410.72,"Low Value"
"12580",1,415.70,"Low Value"
"12581",1,197.71,"Low Value"
"12582",2,511.36,"Mid Value"
"12583",18,7187.34,"High Value"
"12584",18,1893.95,"High Value"
"12585",4,1982.81,"High Value"
"12586",2,179.94,"Low Value"
"12587",1,144.00,"Low Value"
"12588",1,214.90,"Low Value"
"12589",2,646.68,"Mid Value"
"12590",3,9861.38,"High Value"
"12591",1,452.85,"Low Value"
"12592",2,437.60,"Low Value"
"12593",3,418.10,"Low Value"
"12594",11,3320.22,"High Value"
"12596",2,618.27,"Mid Value"
"12597",5,3683.13,"High Value"
"12598",9,3002.68,"High Value"
"12599",7,1032.58,"High Value"
"12600",11,2581.04,"High Value"
"12601",6,569.56,"Mid Value"
"12602",1,153.12,"Low Value"
"12603",1,739.20,"Mid Value"
"12604",2,254.18,"Low Value"
"12605",1,-7.50,"Low Value"
"12607",2,0.00,"Low Value"
"12609",3,1126.85,"High Value"
"12610",7,2057.99,"High Value"
"12611",1,1193.32,"High Value"
"12612",2,643.59,"Mid Value"
"12613",6,3218.98,"High Value"
"12614",1,315.60,"Low Value"
"12615",4,2291.19,"High Value"
"12616",5,657.25,"Mid Value"
"12617",1,355.53,"Low Value"
"12618",1,177.31,"Low Value"
"12619",13,3214.81,"High Value"
"12620",3,1339.41,"High Value"
"12621",23,13612.07,"High Value"
"12622",1,180.10,"Low Value"
"12623",1,305.10,"Low Value"
"12624",2,641.13,"Mid Value"
"12625",3,2614.32,"High Value"
"12626",13,6388.35,"High Value"
"12627",7,4478.53,"High Value"
"12628",4,769.61,"Mid Value"
"12630",2,1270.88,"High Value"
"12631",1,640.50,"Mid Value"
"12633",5,2140.63,"High Value"
"12635",2,1689.18,"High Value"
"12637",10,5953.25,"High Value"
"12638",1,671.69,"Mid Value"
"12639",1,486.10,"Low Value"
"12640",3,1174.58,"High Value"
"12641",1,185.90,"Low Value"
"12642",3,1013.26,"High Value"
"12643",6,3344.64,"High Value"
"12644",1,477.91,"Low Value"
"12645",5,1755.38,"High Value"
"12646",2,1346.97,"High Value"
"12647",13,3669.92,"High Value"
"12648",1,318.05,"Low Value"
"12649",4,603.71,"Mid Value"
"12650",1,314.44,"Low Value"
"12651",1,114.00,"Low Value"
"12652",2,914.53,"Mid Value"
"12653",2,2209.85,"High Value"
"12654",5,601.98,"Mid Value"
"12656",8,3982.72,"High Value"
"12657",5,1152.06,"High Value"
"12658",1,686.05,"Mid Value"
"12659",1,91.68,"Low Value"
"12660",1,245.10,"Low Value"
"12662",12,3817.08,"High Value"
"12664",10,4863.88,"High Value"
"12665",2,61.75,"Low Value"
"12666",1,-227.44,"Low Value"
"12667",1,620.13,"Mid Value"
"12668",6,3743.18,"High Value"
"12669",4,1607.73,"High Value"
"12670",6,2986.15,"High Value"
"12672",1,225.90,"Low Value"
"12673",2,610.52,"Mid Value"
"12674",7,1919.31,"High Value"
"12676",6,1331.39,"High Value"
"12678",13,17588.26,"High Value"
"12679",9,1058.67,"High Value"
"12680",4,862.81,"Mid Value"
"12681",27,13677.59,"High Value"
"12682",31,12288.22,"High Value"
"12683",20,8221.09,"High Value"
"12684",7,2283.63,"High Value"
"12685",6,2863.08,"High Value"
"12686",1,89.14,"Low Value"
"12688",1,4873.81,"High Value"
"12689",2,1247.61,"High Value"
"12690",1,389.01,"Low Value"
"12691",6,1035.80,"High Value"
"12693",6,830.96,"Mid Value"
"12694",2,869.67,"Mid Value"
"12695",4,582.10,"Mid Value"
"12697",5,939.02,"Mid Value"
"12700",6,4867.99,"High Value"
"12701",2,797.71,"Mid Value"
"12702",1,219.00,"Low Value"
"12703",2,274.70,"Low Value"
"12704",10,2220.84,"High Value"
"12705",14,6814.24,"High Value"
"12707",1,603.42,"Mid Value"
"12708",16,2616.32,"High Value"
"12709",26,9294.10,"High Value"
"12710",4,1130.57,"High Value"
"12712",17,4241.63,"High Value"
"12713",1,848.55,"Mid Value"
"12714",5,4708.86,"High Value"
"12715",1,353.86,"Low Value"
"12716",2,1053.49,"High Value"
"12717",3,980.98,"Mid Value"
"12718",1,238.25,"Low Value"
"12719",3,608.10,"Mid Value"
"12720",29,5713.28,"High Value"
"12721",7,2628.98,"High Value"
"12722",6,904.33,"Mid Value"
"12723",5,725.07,"Mid Value"
"12724",4,1031.41,"High Value"
"12725",1,427.80,"Low Value"
"12726",7,2609.10,"High Value"
"12727",9,3947.70,"High Value"
"12728",4,836.33,"Mid Value"
"12729",1,453.01,"Low Value"
"12731",14,18793.41,"High Value"
"12732",1,236.26,"Low Value"
"12733",1,383.95,"Low Value"
"12734",1,110.40,"Low Value"
"12735",2,779.57,"Mid Value"
"12736",1,234.00,"Low Value"
"12738",1,155.35,"Low Value"
"12739",2,1013.04,"High Value"
"12740",1,427.60,"Low Value"
"12743",2,546.43,"Mid Value"
"12744",10,9120.39,"High Value"
"12747",11,4196.01,"High Value"
"12748",224,29072.10,"High Value"
"12749",8,3868.20,"High Value"
"12750",1,275.88,"Low Value"
"12752",1,4366.78,"High Value"
"12753",11,21024.01,"High Value"
"12754",5,2949.12,"High Value"
"12755",4,2203.20,"High Value"
"12756",1,112.08,"Low Value"
"12757",19,4227.70,"High Value"
"12758",2,2791.59,"High Value"
"12759",3,1531.44,"High Value"
"12762",2,1898.52,"High Value"
"12763",2,494.08,"Low Value"
"12764",1,1693.88,"High Value"
"12766",7,6989.63,"High Value"
"12769",1,1143.60,"High Value"
"12770",1,1351.45,"High Value"
"12772",1,892.47,"Mid Value"
"12775",6,1351.24,"High Value"
"12778",7,804.23,"Mid Value"
"12779",12,3868.70,"High Value"
"12781",5,707.72,"Mid Value"
"12782",6,2273.32,"High Value"
"12783",8,1603.87,"High Value"
"12784",2,574.42,"Mid Value"
"12785",2,305.71,"Low Value"
"12787",3,463.66,"Low Value"
"12789",1,91.85,"Low Value"
"12790",1,324.92,"Low Value"
"12791",1,192.60,"Low Value"
"12792",1,400.54,"Low Value"
"12793",2,545.48,"Mid Value"
"12794",2,860.41,"Mid Value"
"12795",1,430.48,"Low Value"
"12797",3,194.18,"Low Value"
"12798",3,6977.04,"High Value"
"12802",2,412.58,"Low Value"
"12808",3,483.65,"Low Value"
"12809",2,484.36,"Low Value"
"12811",3,514.85,"Mid Value"
"12812",1,229.64,"Low Value"
"12814",1,125.92,"Low Value"
"12815",2,1063.46,"High Value"
"12816",2,572.20,"Mid Value"
"12817",1,166.04,"Low Value"
"12818",2,1517.88,"High Value"
"12820",4,942.34,"Mid Value"
"12821",1,92.72,"Low Value"
"12822",3,918.98,"Mid Value"
"12823",5,1759.50,"High Value"
"12824",1,397.12,"Low Value"
"12826",8,1468.12,"High Value"
"12827",3,430.15,"Low Value"
"12828",6,1018.71,"High Value"
"12829",3,253.05,"Low Value"
"12830",7,6748.40,"High Value"
"12831",1,215.05,"Low Value"
"12832",2,383.03,"Low Value"
"12833",1,417.38,"Low Value"
"12834",1,312.38,"Low Value"
"12836",4,2612.86,"High Value"
"12837",1,134.10,"Low Value"
"12838",2,683.13,"Mid Value"
"12839",16,5583.62,"High Value"
"12840",6,2714.27,"High Value"
"12841",26,3876.40,"High Value"
"12842",2,1118.99,"High Value"
"12843",9,1680.76,"High Value"
"12844",2,325.96,"Low Value"
"12845",4,354.09,"Low Value"
"12847",1,871.54,"Mid Value"
"12849",2,1050.89,"High Value"
"12851",1,135.18,"Low Value"
"12852",2,299.75,"Low Value"
"12853",9,1881.70,"High Value"
"12854",5,1289.15,"High Value"
"12855",1,38.10,"Low Value"
"12856",8,2162.68,"High Value"
"12857",2,1106.40,"High Value"
"12863",2,504.20,"Mid Value"
"12864",1,147.12,"Low Value"
"12865",3,1548.07,"High Value"
"12866",1,559.12,"Mid Value"
"12867",10,3986.22,"High Value"
"12868",6,1607.06,"High Value"
"12870",1,-14.90,"Low Value"
"12871",2,380.64,"Low Value"
"12872",2,599.97,"Mid Value"
"12873",1,374.00,"Low Value"
"12875",2,343.23,"Low Value"
"12876",2,2218.02,"High Value"
"12877",12,1535.77,"High Value"
"12878",3,841.64,"Mid Value"
"12879",4,552.57,"Mid Value"
"12881",1,298.00,"Low Value"
"12882",2,1463.04,"High Value"
"12883",4,703.47,"Mid Value"
"12884",1,309.05,"Low Value"
"12885",4,1158.27,"High Value"
"12886",3,1351.09,"High Value"
"12888",4,313.77,"Low Value"
"12890",1,380.47,"Low Value"
"12891",3,331.00,"Low Value"
"12893",1,188.14,"Low Value"
"12895",3,347.30,"Low Value"
"12897",2,216.50,"Low Value"
"12901",36,16293.10,"High Value"
"12902",1,138.68,"Low Value"
"12904",2,509.58,"Mid Value"
"12906",5,2919.81,"High Value"
"12908",4,246.00,"Low Value"
"12909",8,2128.83,"High Value"
"12910",8,3075.04,"High Value"
"12912",5,1662.30,"High Value"
"12913",5,2483.63,"High Value"
"12915",2,363.65,"Low Value"
"12916",5,2982.35,"High Value"
"12917",1,594.00,"Mid Value"
"12919",8,1301.44,"High Value"
"12920",1,164.23,"Low Value"
"12921",50,16389.74,"High Value"
"12922",1,405.38,"Low Value"
"12923",1,176.97,"Low Value"
"12924",5,929.95,"Mid Value"
"12925",2,694.05,"Mid Value"
"12928",5,2062.70,"High Value"
"12929",2,105.10,"Low Value"
"12930",4,409.90,"Low Value"
"12931",20,33462.81,"High Value"
"12933",4,606.28,"Mid Value"
"12935",8,2156.45,"High Value"
"12936",5,1012.90,"High Value"
"12937",4,1504.27,"High Value"
"12938",1,114.14,"Low Value"
"12939",8,11581.80,"High Value"
"12940",4,876.29,"Mid Value"
"12942",3,683.90,"Mid Value"
"12943",1,-3.75,"Low Value"
"12944",2,604.51,"Mid Value"
"12945",1,462.95,"Low Value"
"12947",11,1407.29,"High Value"
"12948",8,2053.70,"High Value"
"12949",10,4143.02,"High Value"
"12950",3,1843.00,"High Value"
"12951",8,1042.07,"High Value"
"12952",5,1382.84,"High Value"
"12953",1,329.85,"Low Value"
"12955",14,4734.26,"High Value"
"12956",1,108.07,"Low Value"
"12957",12,3979.04,"High Value"
"12962",2,266.39,"Low Value"
"12963",9,1841.03,"High Value"
"12965",1,771.91,"Mid Value"
"12966",1,160.18,"Low Value"
"12967",4,1194.75,"High Value"
"12968",1,135.95,"Low Value"
"12970",4,452.24,"Low Value"
"12971",89,10930.26,"High Value"
"12974",1,144.80,"Low Value"
"12976",1,738.60,"Mid Value"
"12977",1,39.24,"Low Value"
"12980",12,7092.06,"High Value"
"12981",2,372.22,"Low Value"
"12982",2,377.20,"Low Value"
"12984",1,97.50,"Low Value"
"12985",3,1215.62,"High Value"
"12987",3,545.00,"Mid Value"
"12988",1,535.32,"Mid Value"
"12989",19,6854.51,"High Value"
"12990",3,409.50,"Low Value"
"12991",2,503.76,"Mid Value"
"12993",4,414.76,"Low Value"
"12994",5,902.22,"Mid Value"
"12995",2,200.72,"Low Value"
"12997",7,1197.94,"High Value"
"12999",3,455.88,"Low Value"
"13000",3,534.85,"Mid Value"
"13001",15,9797.92,"High Value"
"13002",1,120.95,"Low Value"
"13003",3,149.05,"Low Value"
"13004",22,5613.43,"High Value"
"13005",3,468.95,"Low Value"
"13006",1,81.57,"Low Value"
"13008",2,178.47,"Low Value"
"13011",1,50.55,"Low Value"
"13012",11,1311.62,"High Value"
"13013",15,4786.99,"High Value"
"13014",16,3365.43,"High Value"
"13015",5,3346.28,"High Value"
"13016",3,789.89,"Mid Value"
"13017",1,204.00,"Low Value"
"13018",29,7272.75,"High Value"
"13021",12,2584.40,"High Value"
"13023",2,689.90,"Mid Value"
"13026",8,936.15,"Mid Value"
"13027",6,6912.0,"High Value"
"13028",3,659.68,"Mid Value"
"13029",3,1247.50,"High Value"
"13030",2,799.48,"Mid Value"
"13032",3,996.52,"Mid Value"
"13033",1,190.55,"Low Value"
"13034",2,642.77,"Mid Value"
"13035",3,886.63,"Mid Value"
"13037",3,881.07,"Mid Value"
"13038",3,908.46,"Mid Value"
"13040",2,676.99,"Mid Value"
"13043",2,471.57,"Low Value"
"13044",1,560.47,"Mid Value"
"13045",1,305.28,"Low Value"
"13046",2,629.31,"Mid Value"
"13047",18,3079.10,"High Value"
"13048",5,1805.91,"High Value"
"13049",2,656.68,"Mid Value"
"13050",28,5684.61,"High Value"
"13052",1,348.15,"Low Value"
"13055",4,1201.96,"High Value"
"13058",3,271.40,"Low Value"
"13059",1,183.40,"Low Value"
"13060",1,307.53,"Low Value"
"13061",1,248.61,"Low Value"
"13062",1,346.98,"Low Value"
"13064",4,1119.49,"High Value"
"13065",1,205.86,"Low Value"
"13066",3,430.90,"Low Value"
"13067",1,115.46,"Low Value"
"13068",2,344.00,"Low Value"
"13069",27,3717.82,"High Value"
"13070",1,228.80,"Low Value"
"13072",1,177.15,"Low Value"
"13075",1,919.61,"Mid Value"
"13077",4,729.27,"Mid Value"
"13078",43,12432.28,"High Value"
"13079",5,220.10,"Low Value"
"13080",1,58.08,"Low Value"
"13081",21,27964.48,"High Value"
"13082",10,3595.48,"High Value"
"13083",2,303.75,"Low Value"
"13085",3,272.38,"Low Value"
"13089",118,57385.88,"High Value"
"13090",18,8689.39,"High Value"
"13091",2,319.82,"Low Value"
"13092",6,459.83,"Low Value"
"13093",13,7741.47,"High Value"
"13094",16,1708.86,"High Value"
"13095",1,74.40,"Low Value"
"13097",14,5893.32,"High Value"
"13098",41,28658.88,"High Value"
"13099",1,207.36,"Low Value"
"13101",1,101.19,"Low Value"
"13102",27,6336.29,"High Value"
"13103",1,243.94,"Low Value"
"13104",6,1098.48,"High Value"
"13106",2,59.50,"Low Value"
"13107",5,1524.07,"High Value"
"13108",1,350.06,"Low Value"
"13109",5,766.84,"Mid Value"
"13110",8,1452.87,"High Value"
"13113",40,10510.00,"High Value"
"13115",14,2205.63,"High Value"
"13116",2,485.19,"Low Value"
"13117",8,984.91,"Mid Value"
"13118",7,1125.00,"High Value"
"13120",1,30.60,"Low Value"
"13121",2,254.73,"Low Value"
"13122",2,922.39,"Mid Value"
"13124",3,3866.33,"High Value"
"13126",10,2056.29,"High Value"
"13127",1,259.17,"Low Value"
"13130",1,64.00,"Low Value"
"13131",4,1039.30,"High Value"
"13132",1,77.30,"Low Value"
"13133",2,109.80,"Low Value"
"13134",7,1740.63,"High Value"
"13135",1,3096.00,"High Value"
"13136",11,2545.38,"High Value"
"13137",9,3605.08,"High Value"
"13138",6,962.39,"Mid Value"
"13139",8,5055.79,"High Value"
"13140",3,423.72,"Low Value"
"13141",6,2385.80,"High Value"
"13142",1,307.09,"Low Value"
"13144",1,110.95,"Low Value"
"13145",5,614.77,"Mid Value"
"13146",1,228.91,"Low Value"
"13147",4,712.80,"Mid Value"
"13148",17,3348.48,"High Value"
"13149",4,1676.06,"High Value"
"13151",2,1250.37,"High Value"
"13153",1,486.22,"Low Value"
"13154",1,-611.86,"Low Value"
"13155",4,971.76,"Mid Value"
"13157",5,1721.57,"High Value"
"13158",4,1201.06,"High Value"
"13159",5,1379.75,"High Value"
"13160",1,91.80,"Low Value"
"13161",1,112.75,"Low Value"
"13162",5,1644.99,"High Value"
"13165",2,1021.48,"High Value"
"13166",2,414.70,"Low Value"
"13167",4,791.33,"Mid Value"
"13168",5,1310.14,"High Value"
"13169",2,712.88,"Mid Value"
"13170",1,116.01,"Low Value"
"13171",5,426.81,"Low Value"
"13173",2,353.65,"Low Value"
"13174",3,2817.03,"High Value"
"13176",1,492.84,"Low Value"
"13177",1,282.45,"Low Value"
"13178",11,5725.47,"High Value"
"13182",1,121.18,"Low Value"
"13183",9,3957.78,"High Value"
"13184",12,1648.79,"High Value"
"13185",1,71.40,"Low Value"
"13186",5,1539.69,"High Value"
"13187",1,236.02,"Low Value"
"13188",1,114.60,"Low Value"
"13189",2,260.68,"Low Value"
"13192",2,911.94,"Mid Value"
"13193",1,117.88,"Low Value"
"13194",1,60.70,"Low Value"
"13196",4,1797.78,"High Value"
"13198",8,3384.09,"High Value"
"13199",39,9803.96,"High Value"
"13200",4,870.09,"Mid Value"
"13203",4,869.46,"Mid Value"
"13207",2,250.26,"Low Value"
"13208",7,1205.90,"High Value"
"13209",11,5820.16,"High Value"
"13210",1,353.48,"Low Value"
"13211",3,1197.42,"High Value"
"13212",4,780.58,"Mid Value"
"13213",6,1518.43,"High Value"
"13216",1,333.74,"Low Value"
"13217",5,133.62,"Low Value"
"13218",1,62.64,"Low Value"
"13220",4,819.29,"Mid Value"
"13221",2,847.41,"Mid Value"
"13223",2,163.20,"Low Value"
"13224",3,2150.85,"High Value"
"13225",8,6083.04,"High Value"
"13226",1,108.21,"Low Value"
"13227",1,257.70,"Low Value"
"13228",1,358.00,"Low Value"
"13229",1,160.95,"Low Value"
"13230",15,2763.41,"High Value"
"13232",7,1357.60,"High Value"
"13233",2,605.12,"Mid Value"
"13235",2,101.17,"Low Value"
"13236",3,727.27,"Mid Value"
"13238",5,680.83,"Mid Value"
"13239",1,329.56,"Low Value"
"13240",4,663.65,"Mid Value"
"13242",3,270.40,"Low Value"
"13243",1,600.07,"Mid Value"
"13244",1,121.74,"Low Value"
"13245",1,430.50,"Low Value"
"13246",7,1922.10,"High Value"
"13247",4,501.12,"Mid Value"
"13248",2,465.68,"Low Value"
"13249",3,711.41,"Mid Value"
"13253",2,1030.40,"High Value"
"13255",3,390.66,"Low Value"
"13256",1,0,"Low Value"
"13258",3,698.58,"Mid Value"
"13259",1,292.32,"Low Value"
"13260",1,557.62,"Mid Value"
"13261",2,944.10,"Mid Value"
"13262",1,200.29,"Low Value"
"13263",35,7454.07,"High Value"
"13265",5,2107.66,"High Value"
"13266",19,3717.67,"High Value"
"13267",27,4404.44,"High Value"
"13268",15,3167.64,"High Value"
"13269",17,5315.92,"High Value"
"13270",1,590.00,"Mid Value"
"13271",2,178.26,"Low Value"
"13272",2,276.56,"Low Value"
"13273",1,138.98,"Low Value"
"13276",2,590.93,"Mid Value"
"13277",4,258.40,"Low Value"
"13278",1,542.73,"Mid Value"
"13279",2,126.30,"Low Value"
"13280",3,814.86,"Mid Value"
"13282",6,1047.84,"High Value"
"13283",2,93.66,"Low Value"
"13284",2,196.15,"Low Value"
"13285",4,2709.12,"High Value"
"13291",1,361.11,"Low Value"
"13292",2,578.94,"Mid Value"
"13294",2,873.74,"Mid Value"
"13295",2,197.95,"Low Value"
"13296",1,87.40,"Low Value"
"13297",4,2089.85,"High Value"
"13298",1,360.00,"Low Value"
"13299",1,142.50,"Low Value"
"13300",2,365.29,"Low Value"
"13301",4,618.09,"Mid Value"
"13302",1,63.75,"Low Value"
"13304",1,300.42,"Low Value"
"13305",10,2000.86,"High Value"
"13307",1,15.00,"Low Value"
"13308",4,1367.61,"High Value"
"13309",5,1456.79,"High Value"
"13310",6,1083.63,"High Value"
"13311",2,598.57,"Mid Value"
"13313",5,1555.32,"High Value"
"13314",4,578.66,"Mid Value"
"13316",5,5815.49,"High Value"
"13317",9,2140.07,"High Value"
"13318",3,640.76,"Mid Value"
"13319",36,10664.34,"High Value"
"13320",6,1491.70,"High Value"
"13321",2,567.36,"Mid Value"
"13322",1,199.48,"Low Value"
"13323",5,787.85,"Mid Value"
"13324",12,7072.80,"High Value"
"13325",1,675.30,"Mid Value"
"13327",9,3617.57,"High Value"
"13328",1,1308.48,"High Value"
"13329",4,740.40,"Mid Value"
"13330",3,1140.93,"High Value"
"13332",1,350.90,"Low Value"
"13334",3,3536.82,"High Value"
"13336",1,795.12,"Mid Value"
"13338",3,431.82,"Low Value"
"13339",1,860.12,"Mid Value"
"13340",7,10736.48,"High Value"
"13341",1,775.85,"Mid Value"
"13343",2,303.93,"Low Value"
"13344",3,2543.72,"High Value"
"13345",2,377.60,"Low Value"
"13347",1,341.36,"Low Value"
"13348",1,233.76,"Low Value"
"13349",1,247.32,"Low Value"
"13350",3,910.72,"Mid Value"
"13351",1,373.94,"Low Value"
"13352",2,389.28,"Low Value"
"13354",1,743.53,"Mid Value"
"13355",1,674.70,"Mid Value"
"13356",1,768.24,"Mid Value"
"13357",1,609.95,"Mid Value"
"13358",1,439.03,"Low Value"
"13359",2,431.26,"Low Value"
"13362",5,3085.49,"High Value"
"13363",2,992.50,"Mid Value"
"13364",2,0.00,"Low Value"
"13365",3,2191.22,"High Value"
"13366",1,56.16,"Low Value"
"13368",2,623.40,"Mid Value"
"13369",2,263.75,"Low Value"
"13370",2,721.32,"Mid Value"
"13372",1,378.64,"Low Value"
"13373",3,3312.25,"High Value"
"13375",2,772.90,"Mid Value"
"13376",3,1019.76,"High Value"
"13379",3,572.56,"Mid Value"
"13381",7,3626.81,"High Value"
"13382",1,222.99,"Low Value"
"13384",9,4122.28,"High Value"
"13385",1,534.57,"Mid Value"
"13388",3,627.15,"Mid Value"
"13389",3,797.96,"Mid Value"
"13390",1,544.08,"Mid Value"
"13391",1,59.80,"Low Value"
"13394",10,2312.80,"High Value"
"13395",1,307.72,"Low Value"
"13396",4,1325.29,"High Value"
"13397",6,1539.18,"High Value"
"13398",1,457.34,"Low Value"
"13402",2,621.23,"Mid Value"
"13403",1,75.00,"Low Value"
"13404",2,252.49,"Low Value"
"13405",3,572.451,"Mid Value"
"13408",81,27487.41,"High Value"
"13410",7,988.91,"Mid Value"
"13411",1,213.55,"Low Value"
"13414",3,1390.50,"High Value"
"13416",2,712.50,"Mid Value"
"13417",2,640.83,"Mid Value"
"13418",23,5845.44,"High Value"
