"invoice_no","stock_code","quantity","unit_price","revenue"
"536382","22798",8,2.95,23.60
"536382","22726",4,3.75,15.00
"536382","22926",12,5.95,71.40
"536382","22839",2,14.95,29.90
"536382","22838",2,14.95,29.90
"536382","22783",4,16.95,67.80
"C536383","35004C",-1,4.65,-4.65
"536384","82484",3,6.45,19.35
"536384","84755",48,0.65,31.20
"536384","22464",12,1.65,19.80
"536384","21324",6,2.95,17.70
"536384","22457",12,2.95,35.40
"536384","22469",40,1.45,58.00
"536384","22470",40,2.55,102.00
"536384","22224",6,2.95,17.70
"536384","21340",2,12.75,25.50
"536384","22189",4,3.95,15.80
"536384","22427",3,5.95,17.85
"536384","22428",6,6.95,41.70
"536384","22424",8,10.95,87.60
"536385","22783",1,19.95,19.95
"536385","22961",12,1.45,17.40
"536385","22960",6,4.25,25.50
"536385","22663",10,1.95,19.50
"536385","85049A",12,1.25,15.00
"536385","22168",2,8.5,17.0
"536385","22662",10,1.65,16.50
"536386","84880",36,4.95,178.20
"536386","85099C",100,1.65,165.00
"536386","85099B",100,1.65,165.00
"536387","79321",192,3.82,733.44
"536387","22780",192,3.37,647.04
"536387","22779",192,3.37,647.04
"536387","22466",432,1.45,626.40
"536387","21731",432,1.25,540.00
"536388","21754",3,5.95,17.85
"536388","21755",3,5.95,17.85
"536388","21523",2,7.95,15.90
"536388","21363",3,4.95,14.85
"536388","21411",3,4.25,12.75
"536388","22318",6,2.95,17.70
"536388","22464",12,1.65,19.80
"536388","22915",12,0.42,5.04
"536388","22922",12,0.85,10.20
"536388","22969",12,1.45,17.40
"536388","22923",12,0.85,10.20
"536388","21115",4,6.75,27.00
"536388","22469",12,1.65,19.80
"536388","22242",12,1.65,19.80
"536389","22941",6,8.5,51.0
"536389","21622",8,4.95,39.60
"536389","21791",12,1.25,15.00
"536389","35004C",6,5.45,32.70
"536389","35004G",4,6.35,25.40
"536389","85014B",6,5.95,35.70
"536389","85014A",3,5.95,17.85
"536389","22193",2,8.5,17.0
"536389","22726",4,3.75,15.00
"536389","22727",4,3.75,15.00
"536389","22192",2,8.5,17.0
"536389","22191",2,8.5,17.0
"536389","22195",24,1.65,39.60
"536389","22196",24,0.85,20.40
"536390","22941",2,8.5,17.0
"536390","22960",12,3.75,45.00
"536390","22961",12,1.45,17.40
"536390","22962",48,0.72,34.56
"536390","22963",48,0.72,34.56
"536390","22968",8,8.5,68.0
"536390","84970S",144,0.64,92.16
"536390","22910",40,2.55,102.00
"536390","20668",288,0.1,28.8
"536390","85123A",64,2.55,163.20
"536390","22197",100,0.72,72.00
"536390","22198",50,1.45,72.50
"536390","21533",12,4.25,51.00
"536390","21080",96,0.64,61.44
"536390","21094",96,0.64,61.44
"536390","21086",48,0.65,31.20
"536390","21786",144,0.32,46.08
"536390","22654",40,4.95,198.00
"536390","21485",24,4.25,102.00
"536390","84029G",24,3.39,81.36
"536390","84030E",24,3.75,90.00
"536390","22174",48,1.48,71.04
"536390","22969",96,1.25,120.00
"536390","85099B",100,1.65,165.00
"C536391","22556",-12,1.65,-19.80
"C536391","21984",-24,0.29,-6.96
"C536391","21983",-24,0.29,-6.96
"C536391","21980",-24,0.29,-6.96
"C536391","21484",-12,3.45,-41.40
"C536391","22557",-12,1.65,-19.80
"C536391","22553",-24,1.65,-39.60
"536392","22150",6,1.95,11.70
"536392","22619",4,3.75,15.00
"536392","21891",12,1.25,15.00
"536392","21889",12,1.25,15.00
"536392","22827",1,165,165
"536392","22127",12,1.25,15.00
"536392","22128",12,1.25,15.00
"536392","22502",4,5.95,23.80
"536392","84879",16,1.69,27.04
"536392","22338",24,0.65,15.60
"536393","22180",8,9.95,79.60
"536394","21506",24,0.42,10.08
"536394","22633",96,1.85,177.60
"536394","22866",96,1.85,177.60
"536394","22865",96,1.85,177.60
"536394","22632",96,1.85,177.60
"536394","21485",12,4.95,59.40
"536394","22349",12,3.75,45.00
"536394","22558",48,1.25,60.00
"536394","85152",12,2.1,25.2
"536394","85123A",32,2.55,81.60
"536394","22652",20,1.65,33.00
"536395","22188",8,3.95,31.60
"536395","84879",32,1.69,54.08
"536395","21977",24,0.55,13.20
"536395","84991",24,0.55,13.20
"536395","21212",24,0.55,13.20
"536395","21484",8,3.45,27.60
"536395","21314",8,2.1,16.8
"536395","22730",4,3.75,15.00
"536395","22727",8,3.75,30.00
"536395","22729",8,3.75,30.00
"536395","22726",8,3.75,30.00
"536395","22114",8,3.95,31.60
"536395","22867",48,2.1,100.8
"536395","22866",48,2.1,100.8
"536396","85123A",6,2.55,15.30
"536396","71053",6,3.39,20.34
"536396","84406B",8,2.75,22.00
"536396","15056BL",6,4.95,29.70
"536396","20679",6,4.95,29.70
"536396","37370",6,1.06,6.36
"536396","21871",6,1.06,6.36
"536396","21071",6,1.06,6.36
"536396","21068",6,1.06,6.36
"536396","82483",2,4.95,9.90
"536396","82486",4,6.95,27.80
"536396","82482",6,2.1,12.6
"536396","82494L",12,2.55,30.60
"536396","84029G",6,3.39,20.34
"536396","84029E",6,3.39,20.34
"536396","22752",2,7.65,15.30
"536396","22803",2,35.75,71.50
"536396","21730",6,4.25,25.50
"536397","35004B",12,4.65,55.80
"536397","35004C",48,4.65,223.20
"536398","21980",24,0.29,6.96
"536398","21844",6,2.95,17.70
"536398","22468",4,6.75,27.00
"536398","22637",8,2.55,20.40
"536398","22752",6,8.5,51.0
"536398","48185",2,7.95,15.90
"536398","22632",12,2.1,25.2
"536398","22866",12,2.1,25.2
"536398","22865",12,2.1,25.2
"536398","21232",12,1.25,15.00
"536398","22064",12,1.65,19.80
"536398","22449",6,3.35,20.10
"536398","22114",4,3.95,15.80
"536398","22835",8,4.65,37.20
"536398","22112",9,4.95,44.55
"536398","21479",4,3.75,15.00
"536398","22111",9,4.95,44.55
"536399","22632",6,1.85,11.10
"536399","22633",6,1.85,11.10
"536400","22969",12,1.45,17.40
"536401","22110",1,2.55,2.55
"536401","22098",1,1.25,1.25
"536401","22100",2,1.25,2.50
"536401","22766",1,2.95,2.95
"536401","22451",1,3.35,3.35
"536401","22549",1,1.45,1.45
"536401","84744",1,1.25,1.25
"536401","85049E",2,1.25,2.50
"536401","21328",1,1.65,1.65
"536401","22961",4,1.45,5.80
"536401","17091A",1,1.25,1.25
"536401","22473",1,4.95,4.95
"536401","84509A",2,3.75,7.50
"536401","84510A",2,1.25,2.50
"536401","22767",2,9.95,19.90
"536401","22768",1,9.95,9.95
"536401","21463",1,5.95,5.95
"536401","21464",1,4.25,4.25
"536401","20820",3,4.95,14.85
"536401","85150",1,2.55,2.55
"536401","22117",1,2.95,2.95
"536401","21169",2,1.69,3.38
"536401","48129",1,7.95,7.95
"536401","82580",1,0.55,0.55
"536401","82578",1,0.55,0.55
"536401","82581",2,0.55,1.10
"536401","22413",4,2.95,11.80
"536401","21907",2,2.1,4.2
"536401","22441",1,2.1,2.1
"536401","21122",1,1.25,1.25
"536401","22851",1,0.85,0.85
"536401","84991",3,0.55,1.65
"536401","22810",1,2.95,2.95
"536401","22809",1,2.95,2.95
"536401","22435",2,1.25,2.50
"536401","20966",3,1.25,3.75
"536401","20963",1,1.25,1.25
"536401","20961",1,1.25,1.25
"536401","22068",2,1.65,3.30
"536401","21743",2,2.95,5.90
"536401","21744",2,2.95,5.90
"536401","84709B",1,5.95,5.95
"536401","21592",1,1.25,1.25
"536401","21587",2,2.55,5.10
"536401","20992",9,0.85,7.65
"536401","22662",1,1.65,1.65
"536401","85123A",4,2.95,11.80
"536401","22804",3,2.95,8.85
"536401","82483",1,5.95,5.95
"536401","20749",1,7.95,7.95
"536401","20725",1,1.65,1.65
"536401","22382",2,1.65,3.30
"536401","20726",1,1.65,1.65
"536401","22384",1,1.65,1.65
"536401","22467",5,2.55,12.75
"536401","84625C",3,2.95,8.85
"536401","84625A",3,2.95,8.85
"536401","21108",9,2.55,22.95
"536401","22848",1,16.95,16.95
"536401","21033",4,2.95,11.80
"536401","47570B",1,10.65,10.65
"536401","84030E",1,4.25,4.25
"536401","22428",2,6.95,13.90
"536401","22502",2,5.95,11.90
"536402","22086",40,2.55,102.00
"536402","22910",40,2.55,102.00
"536402","22837",36,4.25,153.00
"536403","22867",96,1.85,177.60
"536403","POST",1,15,15
"536404","22297",24,1.25,30.00
"536404","22771",12,1.25,15.00
"536404","22772",12,1.25,15.00
"536404","22773",12,1.25,15.00
"536404","22805",12,1.25,15.00
"536404","22469",12,1.65,19.80
"536404","22197",36,0.85,30.60
"536404","21125",12,1.25,15.00
"536404","21126",12,1.25,15.00
"536404","85049C",12,1.25,15.00
"536404","85049D",12,1.25,15.00
"536404","85049E",12,1.25,15.00
"536404","85049G",12,1.25,15.00
"536404","21061",12,0.85,10.20
"536404","21063",12,0.85,10.20
"536404","21062",12,0.85,10.20
"536404","84380",12,1.25,15.00
"536404","84378",12,1.25,15.00
"536404","22964",12,2.1,25.2
"536404","21213",24,0.55,13.20
"536404","22417",24,0.55,13.20
"536404","21212",24,0.55,13.20
"536404","84992",24,0.55,13.20
"536404","21975",24,0.55,13.20
"536404","22383",10,1.65,16.50
"536404","20728",10,1.65,16.50
"536404","20727",10,1.65,16.50
"536404","22296",24,1.65,39.60
"536405","20914",128,2.55,326.40
"536406","85123A",8,2.55,20.40
"536406","71053",8,3.39,27.12
"536406","84406B",8,2.75,22.00
"536406","20679",6,4.95,29.70
"536406","37370",6,1.06,6.36
"536406","21871",6,1.06,6.36
"536406","21071",6,1.06,6.36
"536406","21068",6,1.06,6.36
"536406","82483",4,4.95,19.80
"536406","82486",4,6.95,27.80
"536406","82482",6,2.1,12.6
"536406","82494L",6,2.55,15.30
"536406","84029G",6,3.39,20.34
"536406","84029E",6,3.39,20.34
"536406","22752",2,7.65,15.30
"536406","22803",2,35.75,71.50
"536406","21730",6,4.25,25.50
"536407","22632",6,1.85,11.10
"536407","22633",6,1.85,11.10
"536408","22537",24,0.42,10.08
"536408","22533",24,0.42,10.08
"536408","20982",12,0.85,10.20
"536408","21832",12,1.65,19.80
"536408","21915",12,1.25,15.00
"536408","21914",12,1.25,15.00
"536408","21544",12,0.85,10.20
"536408","22813",12,1.95,23.40
"536408","22114",4,3.95,15.80
"536408","84029E",4,3.75,15.00
"536408","21479",4,3.75,15.00
"536408","22964",6,2.1,12.6
"536408","84375",12,2.1,25.2
"536408","22418",24,0.85,20.40
"536408","22178",12,1.25,15.00
"536408","84970L",12,0.95,11.40
"536408","21733",6,2.95,17.70
"536408","22465",12,1.65,19.80
"536408","84949",6,1.65,9.90
"536408","20685",2,7.95,15.90
"536408","48194",2,7.95,15.90
"536408","22488",12,1.65,19.80
"536408","22219",12,0.85,10.20
"536408","84879",8,1.69,13.52
"536408","21754",3,5.95,17.85
"536408","21755",3,5.95,17.85
"536408","22766",8,2.95,23.60
"536408","22610",36,0.85,30.60
"536408","22716",12,0.42,5.04
"536408","22706",25,0.42,10.50
"536408","22371",4,4.25,17.00
"536408","85014B",3,5.95,17.85
"536408","85014A",3,5.95,17.85
"536408","84997B",6,3.75,22.50
"536408","21212",24,0.55,13.20
"536408","21210",12,1.45,17.40
"536408","22914",3,4.95,14.85
"536408","22553",12,1.65,19.80
"536408","16237",30,0.21,6.30
"536408","22714",12,0.42,5.04
"536408","22812",12,1.95,23.40
"536408","84347",6,2.55,15.30
"536408","21587",12,2.55,30.60
"536408","22736",10,1.65,16.50
"536408","22492",36,0.65,23.40
"536408","22620",12,1.25,15.00
"536408","22619",4,3.75,15.00
"536408","21705",12,1.65,19.80
"536409","90199C",3,6.35,19.05
"536409","21479",1,3.75,3.75
"536409","22111",1,4.95,4.95
"536409","22785",1,6.75,6.75
"536409","22975",1,1.25,1.25
"536409","22972",1,1.65,1.65
"536409","22866",1,2.1,2.1
"536409","22568",1,3.75,3.75
"536409","85116",1,2.1,2.1
"536409","22664",1,2.1,2.1
"536409","21609",1,2.95,2.95
"536409","21866",1,1.25,1.25
"536409","20669",1,1.25,1.25
"536409","90129F",1,2.95,2.95
"536409","90210B",1,2.95,2.95
"536409","90199C",1,6.35,6.35
"536409","21955",1,7.95,7.95
"536409","72802C",1,4.25,4.25
"536409","22109",1,3.75,3.75
"536409","85116",5,2.1,10.5
"536409","22531",1,0.42,0.42
"536409","21811",1,1.25,1.25
"536409","22183",1,6.75,6.75
"536409","21678",6,0.85,5.10
"536409","21676",6,0.85,5.10
"536409","84625A",1,2.95,2.95
"536409","84625C",3,2.95,8.85
"536409","21931",2,1.95,3.90
"536409","85169B",12,1.25,15.00
"536409","16238",28,0.21,5.88
"536409","20668",24,0.12,2.88
"536409","84906",1,5.95,5.95
"536409","21867",1,1.25,1.25
"536409","22075",1,1.65,1.65
"536409","21866",1,1.25,1.25
"536409","21326",12,0.65,7.80
"536409","21065",1,5.95,5.95
"536409","22074",1,1.65,1.65
"536409","22900",1,2.95,2.95
"536409","20713",1,1.95,1.95
"536409","20966",2,1.25,2.50
"536409","21116",1,4.95,4.95
"536409","90199C",2,6.35,12.70
"536409","22633",1,2.1,2.1
"536409","22866",1,2.1,2.1
"536409","22198",1,1.65,1.65
"536409","21824",3,1.45,4.35
"536409","21823",3,1.45,4.35
"536409","22153",6,0.42,2.52
"536409","22197",2,0.85,1.70
"536409","85099B",2,1.95,3.90
"536409","85099F",1,1.95,1.95
"536409","20717",1,1.25,1.25
"536409","20723",1,0.85,0.85
"536409","22900",1,2.95,2.95
"536409","21980",12,0.29,3.48
"536409","22111",1,4.95,4.95
"536409","22112",1,4.95,4.95
"536412","20728",3,1.65,4.95
"536412","22382",3,1.65,4.95
"536412","22326",1,2.95,2.95
"536412","22662",4,1.65,6.60
"536412","22383",3,1.65,4.95
"536412","20727",3,1.65,4.95
"536412","22328",1,2.95,2.95
"536412","22327",1,2.95,2.95
"536412","22630",1,1.95,1.95
"536412","22629",1,1.95,1.95
"536412","21245",1,1.69,1.69
"536412","21244",1,1.69,1.69
"536412","21242",1,1.69,1.69
"536412","21243",1,1.69,1.69
"536412","22327",1,2.95,2.95
"536412","22273",1,2.95,2.95
"536412","22940",3,4.25,12.75
"536412","22652",5,1.65,8.25
"536412","22759",1,1.65,1.65
"536412","21880",10,0.65,6.50
"536412","21738",1,2.95,2.95
"536412","22077",1,1.65,1.65
"536412","85049E",3,1.25,3.75
"536412","22961",24,1.45,34.80
"536412","21448",2,1.65,3.30
"536412","22837",3,4.65,13.95
"536412","22749",2,3.75,7.50
"536412","22940",1,4.25,4.25
"536412","22749",1,3.75,3.75
"536412","22077",2,1.65,3.30
"536412","21738",2,2.95,5.90
"536412","85049E",1,1.25,1.25
"536412","22243",6,1.65,9.90
"536412","22141",1,2.1,2.1
"536412","22144",2,2.1,4.2
"536412","22243",3,1.65,4.95
"536412","22077",7,1.65,11.55
"536412","21448",1,1.65,1.65
"536412","22759",5,1.65,8.25
"536412","22242",5,1.65,8.25
"536412","85049E",12,1.25,15.00
"536412","21731",5,1.65,8.25
"536412","22243",1,1.65,1.65
"536412","21739",2,2.95,5.90
"536412","21738",5,2.95,14.75
"536412","22271",2,2.95,5.90
"536412","22273",1,2.95,2.95
"536412","22274",2,2.95,5.90
"536412","22749",1,3.75,3.75
"536412","22751",2,3.75,7.50
"536412","21034",1,0.95,0.95
"536412","22273",2,2.95,5.90
"536412","22568",3,3.75,11.25
"536412","22141",1,2.1,2.1
"536412","22144",1,2.1,2.1
"536412","22570",3,3.75,11.25
"536412","22569",2,3.75,7.50
"536412","21448",1,1.65,1.65
"536412","22086",1,2.95,2.95
"536412","22569",2,3.75,7.50
"536412","21448",2,1.65,3.30
"536412","22968",4,9.95,39.80
"536412","22902",7,2.1,14.7
"536412","21448",2,1.65,3.30
"536412","22902",7,2.1,14.7
"536412","21710",1,4.95,4.95
"536412","21708",1,4.95,4.95
"536412","21711",1,4.95,4.95
"536412","22179",2,6.75,13.50
"536412","22197",5,0.85,4.25
"536412","22900",2,2.95,5.90
"536412","21706",1,4.95,4.95
"536412","22468",2,6.75,13.50
"536412","20725",1,1.65,1.65
"536412","85184C",1,2.95,2.95
"536412","21708",1,4.95,4.95
"536412","22900",2,2.95,5.90
"536412","21706",1,4.95,4.95
"536412","22988",6,1.25,7.50
"536412","85184C",1,2.95,2.95
"536412","20750",1,7.95,7.95
"536415","22952",10,0.55,5.50
"536415","22910",5,2.95,14.75
"536415","22739",3,1.65,4.95
"536415","22738",3,1.65,4.95
"536415","22736",3,1.65,4.95
"536415","22909",5,0.85,4.25
"536415","35591T",2,1.25,2.50
"536415","22186",5,2.95,14.75
"536415","22695",3,1.45,4.35
"536415","22470",1,2.95,2.95
"536415","22580",1,5.95,5.95
"536415","22469",5,1.65,8.25
"536415","22147",4,1.45,5.80
"536415","22130",6,0.85,5.10
"536415","21791",3,1.25,3.75
"536415","22694",5,2.1,10.5
"536415","21790",3,0.85,2.55
"536415","22149",4,2.1,8.4
"536415","22900",3,2.95,8.85
"536415","22961",3,1.45,4.35
"536415","22321",12,0.85,10.20
"536415","22594",5,0.85,4.25
"536415","22593",4,0.85,3.40
"536415","22595",6,0.85,5.10
"536415","21986",12,0.29,3.48
"536415","22750",2,3.75,7.50
"536415","22616",12,0.29,3.48
"536415","22775",1,1.25,1.25
"536415","22899",2,2.1,4.2
"536415","22367",3,1.95,5.85
"536415","22942",3,8.5,25.5
"536415","22941",3,8.5,25.5
"536415","22086",6,2.95,17.70
"536415","22940",2,4.25,8.50
"536415","21212",2,0.55,1.10
"536415","21976",2,0.55,1.10
"536415","22951",2,0.55,1.10
"536415","21977",3,0.55,1.65
"536415","22834",3,2.1,6.3
"536415","22867",3,2.1,6.3
"536415","22865",3,2.1,6.3
"536415","22632",3,2.1,6.3
"536415","21916",2,0.42,0.84
"536415","22587",4,0.85,3.40
"536415","22566",3,0.85,2.55
"536415","22565",3,0.85,2.55
"536415","22472",2,4.95,9.90
"536415","22557",3,1.65,4.95
"536415","22551",3,1.65,4.95
"536415","22554",3,1.65,4.95
"536415","22534",3,0.42,1.26
"536415","22531",3,0.42,1.26
"536415","22529",3,0.42,1.26
"536415","22530",3,0.42,1.26
"536415","84032B",3,2.95,8.85
"536415","22837",3,4.65,13.95
"536415","85049H",2,1.25,2.50
"536415","22749",2,3.75,7.50
"536415","22807",12,2.95,35.40
"536416","21494",12,1.25,15.00
"536416","21915",72,1.25,90.00
"536416","22938",12,1.95,23.40
"536416","22768",4,9.95,39.80
"536416","22767",4,9.95,39.80
"536416","82494L",6,2.95,17.70
"536420","21889",12,1.25,15.00
"536420","21892",12,1.25,15.00
"536420","21891",12,1.25,15.00
"536420","21890",6,2.95,17.70
"536420","21718",12,1.25,15.00
"536420","21716",8,2.55,20.40
"536420","21715",8,2.55,20.40
"536420","22113",4,3.75,15.00
"536420","22111",3,4.95,14.85
"536420","22110",6,2.55,15.30
"536420","22358",6,2.95,17.70
"536420","22357",4,4.25,17.00
"536420","22115",6,2.95,17.70
"536420","22969",12,1.45,17.40
"536423","22619",4,3.75,15.00
"536423","21481",6,2.95,17.70
"536423","22632",12,2.1,25.2
"536423","22837",8,4.65,37.20
"536423","21479",8,3.75,30.00
"536423","21485",8,4.95,39.60
"536423","84029E",8,3.75,30.00
"536423","22111",16,4.95,79.20
"536423","22113",8,3.75,30.00
"536425","22837",8,4.65,37.20
"536425","22585",12,1.25,15.00
"536425","79321",8,4.95,39.60
"536425","22637",12,2.55,30.60
"536425","21556",6,2.55,15.30
"536425","22646",12,1.45,17.40
"536425","22644",12,1.45,17.40
"536425","22645",12,1.45,17.40
"536425","22650",12,1.45,17.40
"536425","22508",8,3.75,30.00
"536425","21411",3,4.25,12.75
"536425","22511",4,3.75,15.00
"536425","22451",6,3.35,20.10
"536425","22449",6,3.35,20.10
"536425","22768",2,9.95,19.90
"536425","22829",2,9.95,19.90
"536425","22961",12,1.45,17.40
"536437","21154",200,1.06,212.00
"536437","22189",72,3.39,244.08
"536437","17021",600,0.24,144.00
"536437","22059",48,1.25,60.00
"536437","22188",36,3.39,122.04
"536437","84678",48,1.25,60.00
"536446","85172",32,0.42,13.44
"536446","22142",2,1.45,2.90
"536446","22144",2,2.1,4.2
"536446","21591",6,1.25,7.50
"536446","22480",12,1.25,15.00
"536446","22294",48,1.25,60.00
"536446","21156",1,1.95,1.95
"536446","10133",5,0.85,4.25
"536446","72800E",6,2.55,15.30
"536446","22294",24,1.25,30.00
"536446","84836",12,1.25,15.00
"536446","20774",2,1.65,3.30
"536446","20773",2,1.65,3.30
"536446","20777",2,1.65,3.30
"536446","16016",10,0.85,8.50
"536446","16014",10,0.42,4.20
"536446","21890",2,2.95,5.90
"536446","21891",2,1.25,2.50
"536446","22619",8,3.75,30.00
"536446","22620",6,1.25,7.50
"536446","84347",12,2.55,30.60
"536446","85169B",24,1.25,30.00
"536446","21156",3,1.95,5.85
"536446","21651",6,1.65,9.90
"536446","21651",6,1.65,9.90
"536446","84625C",10,2.95,29.50
"536446","22618",2,9.95,19.90
"536446","21586",4,2.55,10.20
"536446","21587",4,2.55,10.20
"536446","22152",24,0.42,10.08
"536446","85172",16,0.42,6.72
"536446","84754",24,1.25,30.00
"536460","22670",12,1.25,15.00
"536460","21586",12,2.55,30.60
"536460","84992",24,0.55,13.20
"536460","84879",24,1.69,40.56
"536460","84849B",12,1.69,20.28
"536460","22927",2,5.95,11.90
"536460","22926",4,5.95,23.80
"536460","22925",2,5.95,11.90
"536460","21977",24,0.55,13.20
"536460","21485",6,4.95,29.70
"536460","21484",8,3.45,27.60
"536460","21259",2,5.95,11.90
"536460","21257",2,7.95,15.90
"536460","21121",24,1.25,30.00
"536463","82552",12,1.45,17.40
"536464","90200B",2,4.25,8.50
"536464","90059B",2,1.65,3.30
"536464","90185C",2,4.25,8.50
"536464","90059E",3,1.65,4.95
"536464","90059C",1,1.65,1.65
"536464","90200C",1,4.25,4.25
"536464","90200D",3,4.25,12.75
"536464","90200A",1,4.25,4.25
"536464","22386",1,1.95,1.95
"536464","85099B",1,1.95,1.95
"536464","84879",8,1.69,13.52
"536464","22086",1,2.95,2.95
"536464","22737",1,1.65,1.65
"536464","21260",1,3.25,3.25
"536464","22744",2,2.95,5.90
"536464","21985",1,0.29,0.29
"536464","21980",1,0.29,0.29
"536464","22988",1,1.25,1.25
"536464","22297",1,1.25,1.25
"536464","22294",1,1.25,1.25
"536464","22295",1,1.65,1.65
"536464","22813",2,1.95,3.90
"536464","22812",6,1.95,11.70
"536464","22197",5,0.85,4.25
"536464","21977",1,0.55,0.55
"536464","22619",1,3.75,3.75
"536464","16258A",1,0.42,0.42
"536464","21992",1,2.95,2.95
"536464","22910",1,2.95,2.95
"536464","21124",1,1.25,1.25
"536464","22735",2,1.65,3.30
"536464","22952",2,0.55,1.10
"536464","22945",6,0.85,5.10
