"stock_code","year","month","orders","revenue","aov","customers","revenue_lag1","revenue_lag2","revenue_lag3","rolling_3m_avg","rolling_6m_avg","month_count"
"10125",2011,10,4,42.50,10.6250000000000000,4,178.50,72.25,149.60,97.7500000000000000,90.8083333333333333,12
"10125",2011,11,2,52.70,26.3500000000000000,2,42.50,178.50,72.25,91.2333333333333333,84.4333333333333333,12
"10125",2011,12,2,22.10,11.0500000000000000,2,52.70,42.50,178.50,39.1000000000000000,86.2750000000000000,12
"10133",2011,1,4,42.10,10.5250000000000000,4,78.75,NULL,NULL,60.4250000000000000,60.4250000000000000,10
"10133",2011,2,5,31.45,6.2900000000000000,5,42.10,78.75,NULL,50.7666666666666667,50.7666666666666667,10
"10133",2011,3,7,70.55,10.0785714285714286,7,31.45,42.10,78.75,48.0333333333333333,55.7125000000000000,10
"10133",2011,4,2,63.75,31.8750000000000000,2,70.55,31.45,42.10,55.2500000000000000,57.3200000000000000,10
"10133",2011,5,4,28.05,7.0125000000000000,4,63.75,70.55,31.45,54.1166666666666667,52.4416666666666667,10
"10133",2011,6,30,201.06,6.7020000000000000,30,28.05,63.75,70.55,97.6200000000000000,72.8266666666666667,10
"10133",2011,7,31,278.04,8.9690322580645161,31,201.06,28.05,63.75,169.0500000000000000,112.1500000000000000,10
"10133",2011,8,21,268.80,12.8000000000000000,21,278.04,201.06,28.05,249.3000000000000000,151.7083333333333333,10
"10133",2011,9,5,81.06,16.2120000000000000,5,268.80,278.04,201.06,209.3000000000000000,153.4600000000000000,10
"10135",2011,1,15,217.80,14.5200000000000000,15,191.90,NULL,NULL,204.8500000000000000,204.8500000000000000,13
"10135",2011,2,7,274.15,39.1642857142857143,7,217.80,191.90,NULL,227.9500000000000000,227.9500000000000000,13
"10135",2011,3,8,96.45,12.0562500000000000,8,274.15,217.80,191.90,196.1333333333333333,195.0750000000000000,13
"10135",2011,4,5,37.50,7.5000000000000000,5,96.45,274.15,217.80,136.0333333333333333,163.5600000000000000,13
"10135",2011,5,2,10.00,5.0000000000000000,2,37.50,96.45,274.15,47.9833333333333333,137.9666666666666667,13
"10135",2011,6,8,68.75,8.5937500000000000,8,10.00,37.50,96.45,38.7500000000000000,117.4416666666666667,13
"10135",2011,7,9,221.25,24.5833333333333333,9,68.75,10.00,37.50,100.0000000000000000,118.0166666666666667,13
"10135",2011,8,4,171.00,42.7500000000000000,4,221.25,68.75,10.00,153.6666666666666667,100.8250000000000000,13
"10135",2011,9,9,94.68,10.5200000000000000,8,171.00,221.25,68.75,162.3100000000000000,100.5300000000000000,13
"10135",2011,10,12,100.77,8.3975000000000000,9,94.68,171.00,221.25,122.1500000000000000,111.0750000000000000,13
"10135",2011,11,16,207.76,12.9850000000000000,13,100.77,94.68,171.00,134.4033333333333333,144.0350000000000000,13
"10135",2011,12,5,94.68,18.9360000000000000,5,207.76,100.77,94.68,134.4033333333333333,148.3566666666666667,13
"11001",2011,1,2,54.08,27.0400000000000000,2,109.85,NULL,NULL,81.9650000000000000,81.9650000000000000,13
"11001",2011,2,1,27.04,27.0400000000000000,1,54.08,109.85,NULL,63.6566666666666667,63.6566666666666667,13
"11001",2011,3,3,82.81,27.6033333333333333,3,27.04,54.08,109.85,54.6433333333333333,68.4450000000000000,13
